transaction_id,decision,risk_score,is_fraud,valid_card,issuer,masked_card_number,reasons
batch_tx_001,blocked,0.2848,True,True,VISA,**** **** **** 9403,device_tx_count_24h impact=-0.0721 | seconds_since_last_tx impact=+0.0662 | distance_from_home_km impact=-0.0640 | geo_velocity_kmh impact=+0.0523 | tx_count_last_5m impact=-0.0500 | Impossible geo velocity
batch_tx_002,approved,0.091,False,True,VISA,**** **** **** 9623,device_tx_count_24h impact=-0.0721 | distance_from_home_km impact=+0.0703 | seconds_since_last_tx impact=-0.0671 | geo_velocity_kmh impact=-0.0517 | tx_count_last_5m impact=-0.0500
batch_tx_003,blocked,1.0,True,False,VISA,**** **** **** 3856,Card present in blacklist
batch_tx_004,blocked,0.4822,True,True,MASTERCARD,**** **** **** 4230,device_tx_count_24h impact=-0.0721 | seconds_since_last_tx impact=+0.0648 | distance_from_home_km impact=-0.0640 | merchant_risk_score impact=+0.0531 | tx_count_last_5m impact=+0.0530 | Impossible geo velocity | First seen device
batch_tx_005,approved,0.4064,False,True,MASTERCARD,**** **** **** 1674,device_tx_count_24h impact=-0.0721 | distance_from_home_km impact=+0.0703 | seconds_since_last_tx impact=+0.0648 | merchant_risk_score impact=+0.0531 | geo_velocity_kmh impact=-0.0517 | Foreign transaction | First seen device
batch_tx_006,approved,0.3581,False,True,MASTERCARD,**** **** **** 0606,device_tx_count_24h impact=-0.0721 | distance_from_home_km impact=+0.0703 | seconds_since_last_tx impact=+0.0648 | merchant_risk_score impact=+0.0531 | tx_count_last_5m impact=-0.0500 | First seen device
batch_tx_007,approved,0.3059,False,True,VISA,**** **** **** 9403,device_tx_count_24h impact=-0.0721 | seconds_since_last_tx impact=+0.0648 | distance_from_home_km impact=-0.0640 | merchant_risk_score impact=+0.0531 | geo_velocity_kmh impact=+0.0523 | First seen device
batch_tx_008,blocked,0.601,True,True,VISA,**** **** **** 9623,device_tx_count_24h impact=-0.0720 | distance_from_home_km impact=+0.0684 | seconds_since_last_tx impact=+0.0648 | geo_velocity_kmh impact=+0.0523 | merchant_risk_score impact=+0.0511 | Foreign transaction | Impossible geo velocity | First seen device
batch_tx_009,blocked,1.0,True,False,VISA,**** **** **** 3856,Card present in blacklist
batch_tx_010,approved,0.5012,False,True,MASTERCARD,**** **** **** 4230,device_tx_count_24h impact=-0.0720 | distance_from_home_km impact=-0.0659 | seconds_since_last_tx impact=+0.0648 | geo_velocity_kmh impact=-0.0517 | merchant_risk_score impact=+0.0511 | Amount exceeds 100000 | Foreign transaction | First seen device
batch_tx_011,blocked,1.0,True,False,UNKNOWN,**** **** **** 9999,Luhn checksum failed | BIN not issued by bank | Unsupported card issuer
batch_tx_012,blocked,0.5197,True,True,MASTERCARD,**** **** **** 0606,device_tx_count_24h impact=-0.0721 | distance_from_home_km impact=+0.0703 | seconds_since_last_tx impact=+0.0648 | merchant_risk_score impact=+0.0531 | geo_velocity_kmh impact=+0.0523 | Impossible geo velocity | First seen device
